name,rating,reviews,address,price,country,bathrooms,beds,guests,toilets,bedrooms,studios
SAPANCA ANL HILL BUNGALOW,4.75,4,"Sapanca, Sakarya, Turkey",14551, Turkey,1,0,4,0,1,0
A-Frame of Mind,5.0,8,"Seetla, Uttarakhand, India",7418, India,1,0,2,0,1,0
Dinosaurs  Resort 3BHK AC CABIN,,0,"Lonavla, Maharashtra, India",15975, India,4,3,7,0,3,0
Sapanca Nature Bungalow Suite with Pool and Jacuzzi,,1,"Sapanca, Sakarya, Turkey",14049, Turkey,1,1,4,0,1,0
Moonshine Sapanca,,0,"Sapanca, Sakarya, Turkey",17611, Turkey,1,2,5,0,2,0
LOGIN OKINAWA -wood-,4.68,241,"Onna-son, Kunigami-gun, Okinawa-ken, Japan",13010, Japan,1,7,9,0,3,0
Hacienda Paragua,4.83,41,"Coron, MIMAROPA, Philippines",4059, Philippines,1,2,4,0,1,0
Rich Bungalow in Maşukiye,5.0,10,"Kartepe, Kocaeli, Turkey",6774, Turkey,1,1,4,0,1,0
LAKERS BUNGALOV 3,,2,"Sapanca, Sakarya, Turkey",10035, Turkey,1,2,3,0,1,0
"Cozy Tiny House in Bagac, Bataan near Las Casas",4.68,25,"Bagac, Central Luzon, Philippines",8135, Philippines,1,2,5,0,2,0
A lemon Tree Hut  - Near Auroville,4.8,61,"Bommayapalayam  Near Auroville , Tamil Nadu, India",1712, India,2,1,2,0,1,0
"House in Monterrazas, Metro Baguio",4.68,154,"Baguio, Cordillera Administrative Region, Philippines",8767, Philippines,3,8,10,0,3,0
Glamping in the A-frame Kubo at the Sunset Hill,,0,"San Juan, Ilocos Region, Philippines",2352, Philippines,0,1,2,1,1,0
Bungalow with Heated Private Pool in Sapanca,,1,"Memnuniye, Sakarya, Turkey",22436, Turkey,1,1,2,0,1,0
Welcome from Borjomi,4.82,44,"Borjomi, Samtskhe-Javakheti, Georgia",6372, Georgia,1,2,4,0,1,0
SAPANCA ELİTE BUNGALOW,,1,"Sapanca, Sakarya, Turkey",19147, Turkey,1,2,4,0,1,0
Unique views of Rize badara plateau,4.69,13,"Hemşin, Rize, Turkey",8028, Turkey,1,6,3,0,0,0
LOGIN OKINAWA -plants-,,0,"Onna, Kunigami District, Okinawa, Japan",12590, Japan,1,6,8,0,3,0
PyramidHouse  (kubrik camping),4.89,19,"Konyaaltı, Antalya, Turkey",2820, Turkey,1,0,2,0,0,0
La Fuite bungalow,,0,"Mansourieh, Mount Lebanon Governorate, Lebanon",6839, Lebanon,1,4,4,0,2,0
恩纳村的打卡圣地网红海景小木屋Cinderella J House,4.58,58,"Onna, Kunigami-gun, Okinawa, Japan",6528, Japan,1,4,8,0,3,0
Hualien Taroko YU's B&B & Quad Room Cabin,4.87,137,"Xiulin Township, Taiwan",9028, Taiwan,1,2,4,0,1,0
Treehouse in nature at the top of the Taurus mountains,5.0,3,"Arslanköy, Mersin, Turkey",4265, Turkey,1,2,4,0,1,0
Aranyam Cafe & resort,5.0,3,"Bhimtal, Uttarakhand, India",3652, India,1,2,2,0,1,0
Great Villa with Sea View and Private Pool in Kas,,1,"Gelemiş, Antalya, Turkey",12369, Turkey,1,2,4,0,2,0
Daily Bungalow  🌲⛺️,5.0,3,"Uzundere, Rize, Turkey",12751, Turkey,1,3,5,0,1,0
CASE: PEACEFUL AND JACUZZI VILLA IN NATURE,5.0,7,"Kaş, Antalya, Turkey",10684, Turkey,2,2,6,0,2,0
Balai Maniago,4.63,8,"San Felipe, Central Luzon, Philippines",2598, Philippines,1,1,3,0,0,0
@ Bamboo Resort and ATV Park - Standard Room -EP,4.67,4,"Bijanbari, West Bengal, India",4000, India,3,6,4,0,3,0
4-Person Villa with Nature View,,0,"Kaş, Antalya, Turkey",10839, Turkey,2,3,4,0,2,0
"A-Haus One (mini cabin) 
Min. 2pax - Max. 4pax",5.0,8,"Cavinti, Calabarzon, Philippines",6181, Philippines,2,2,5,0,1,0
Farmstay at Parule,5.0,8,"Parule, Maharashtra, India",8559, India,1,2,2,0,0,0
Forest Hut w/ access to natural pool & water falls,5.0,4,"Infanta, Calabarzon, Philippines",4871, Philippines,1,2,2,0,1,0
Park Hotel Surami Chalet (Wild Berry),,1,"Surami, Shida Kartli., Georgia",22758, Georgia,1,2,4,0,2,0
ALANYA BUNGALOW HOMES,,0,"Alanya, Antalya, Turkey",5023, Turkey,1,4,2,0,1,0
Luxurios triangle beach house,4.91,33,"Caesarea, Haifa District, Israel",23852, Israel,1,2,4,0,2,0
Sea View Villa in Kas,,0,Turkey,8472,Turkey,2,4,6,0,3,0
Spacio Caliraya Teepee House,,1,"Lumban, Calabarzon, Philippines",4780, Philippines,0,1,2,0,1,0
The Cabin By Grey -Vacation House and Events Place,,0,"Kawit, Calabarzon, Philippines",43866, Philippines,5,8,16,0,5,0
Honeymoon Villa with Jacuzzi and pool Chalet,,1,"Kaş, Antalya, Turkey",7846, Turkey,1,1,2,0,1,0
The Cozy Cabins by Woodscation,5.0,3,"Dharamshala, Himachal Pradesh, India",4183, India,4,2,2,0,2,0
"SeptemberGardenHomestay
Prince'sCabin(for couples)",5.0,11,"Lâm Đồng, Vietnam",1553, Vietnam,1,1,2,0,1,0
Noina's Mystic Mountain.Hut 3,5.0,12,"Tambon Phe, Chang Wat Rayong, Thailand",3025, Thailand,1,1,2,0,0,0
Mulberry Collection Mint Kalkan'da 4 Kişilik Villa,,0,"Kaş, Antalya, Turkey",11189, Turkey,2,3,4,0,2,0
Tiny Cottage in Bakuriani,,0,"Bakuriani, Samtskhe-Javakheti, Georgia",2740, Georgia,1,0,5,0,0,0
Sapanca CasaMia Suit Panorama,,0,"Sapanca, Sakarya, Turkey",9689, Turkey,1,1,2,0,1,0
SAPANCA BAMBOOLOW RESORT,,1,"Sapanca, Sakarya, Turkey",16457, Turkey,1,1,2,0,1,0
Kabin Tres - Kamp Aleixo Island Glamping,5.0,4,"Cavinti, Calabarzon, Philippines",4221, Philippines,0,2,5,0,0,0
Sleeps 2 with a private pool and a jacuzzi in nature,,1,"Kaş, Antalya, Turkey",6315, Turkey,1,1,2,0,1,0
Olympos Natural full-furnished duplex cozy,,2,"Olimpos / Kumluca, Antalya, Turkey",4898, Turkey,1,3,5,0,2,0
Star-studded rooms with activities in front of the pension,5.0,4,"Sowon-myeon, Taean-gun, South Chungcheong Province, South Korea",4034, South Korea,1,0,4,0,0,0
Nirvana | A Frame Cabin,4.75,4,"Jibhi, Himachal Pradesh, India",5135, India,1,1,2,0,1,0
HAERI • (H3) • Utsera Cabins • Racha,5.0,3,"Oni, Racha-Lechkhumi and Kvemo Svaneti, Georgia",9103, Georgia,1,2,4,0,1,0
Munic Bungalow Sapanca,,0,"Sapanca, Sakarya, Turkey",13798, Turkey,1,3,5,0,2,0
Blue Lagoon - Art House,,2,"Cát Hải, Hải Phòng, Vietnam",3186, Vietnam,1,1,2,0,1,0
Arzni park resort,5.0,3,"Arzni, Kotayk Province, Armenia",7191, Armenia,1,1,2,0,0,0
Unique 3B R& 2tiki’s hut/tree house & with pool,,1,"Bacacay, Bicol, Philippines",40665, Philippines,2,5,15,0,5,0
HAERI • (H1) • Utsera Cabins • Racha,5.0,3,"Oni, Racha-Lechkhumi and Kvemo Svaneti, Georgia",9103, Georgia,1,2,4,0,1,0
"Andifli , Üçgen Honeymoon House",,0,"Kaş, Antalya, Turkey",8843, Turkey,1,1,2,0,1,0
Yıldırım Loft Bungalov,,0,"Dernek, Rize, Turkey",11038, Turkey,1,3,6,0,1,0
Eco Cottage Stay,4.88,18,"Vengurla, Maharashtra, India",8559, India,1,3,3,0,3,0
DREAM RIVER EXCLUSIVE BUNGALOW,,0,"Çamlıhemşin, Rize, Turkey",16708, Turkey,1,0,6,0,2,0
"A-haus Villa 1
Min 2pax - Max 6pax",,2,"Cavinti, Calabarzon, Philippines",5409, Philippines,1,5,6,0,1,0
Villa Hidden Paradise Garden,,0,"Muğla, Turkey",5067, Turkey,1,4,4,0,2,0
Triangle on the rocks!,4.94,16,"Amargeti, Paphos, Cyprus",1903, Cyprus,0,1,2,1,0,0
Lovely large lawn romantic lake view in front of cabin (one double bed) near Second Dormitory Sun Pavilion,4.82,11,"Zuozhen District, Tainan City, Taiwan",4476, Taiwan,1,1,2,0,1,0
URNA Glamping Stays,,0,"Dhanachuli, Uttarakhand, India",6505, India,1,1,2,0,1,0
villa with outdoor jacuzzi with mountain views,,0,"Kemer, Antalya, Turkey",15084, Turkey,1,3,4,0,2,0
"Kalkan'da Muhafazakar, Jakuzili Üçgen Villa",,1,"Antalya, Turkey",7576, Turkey,2,3,4,0,2,0
Enjoying a peaceful vacation is personal,,0,"Kaş, Antalya, Turkey",9326, Turkey,1,1,2,0,1,0
Conservative honeymoon clothy houses-2-eciralikvilla,,0,"Kaş, Antalya, Turkey",6442, Turkey,1,1,2,0,1,0
Bean Homestay,,1,"Quan Lan, Quảng Ninh, Vietnam",2329, Vietnam,1,2,4,0,1,0
Yaşam Bungalow,,1,"Dikkaya, Rize, Turkey",25037, Turkey,1,3,2,0,2,0
Enjoy the hot tub with sea views,,0,"Kumluca, Antalya, Turkey",7024, Turkey,1,2,4,0,2,0
Anka Bungalow,,0,"Kaş, Antalya, Turkey",12312, Turkey,1,1,2,0,1,0
3 minute walk from the beach,4.92,12,"花蓮市, Taiwan",11435, Taiwan,1,1,2,0,1,0
A1 GlampingSingle glamping in a property where you can get away from everyday life and feel nature and sensibility at the same time,,1,"Seogwipo, Jeju Province, South Korea",9455, South Korea,1,2,8,0,1,0
Fold's house,,0,"Thành phố Pleiku, Gia Lai, Vietnam",1165, Vietnam,1,1,2,0,1,0
펜션 앞 바다에서 다양한 활동을 즐길 수 있는 숙소의 바다 객실,,0,"Sowon-myeon, Taean-gun, South Chungcheong Province, South Korea",4034, South Korea,1,0,4,0,0,0
Bear Bungalov,,0,"Çayeli, Rize, Turkey",76504, Turkey,1,1,2,0,1,0
"Nido Sun Pavilion Nearby Cabin (3ppl Futon, Shared Bathroom) Beautiful large lawn in front Romantic lake Night view",4.86,7,"Zuozhen District, Tainan City, Taiwan",6274, Taiwan,1,3,4,0,1,0
Patara Bungaloov Evi,,0,"Kepez, Antalya, Turkey",4767, Turkey,1,2,3,0,1,0
Doğa Manzaralı Muhafazakar Kiralık Tatil Villası,,0,"Kaş, Antalya, Turkey",3945, Turkey,2,3,4,0,2,0
Babil Bungalow Villa,,0,"Kartepe, Kocaeli, Turkey",17214, Turkey,1,1,4,0,1,0
The MuG Resort,5.0,4,"Tambon Samet, Chang Wat Chon Buri, Thailand",3252, Thailand,1,1,2,0,10,0
Glamping A3 in a single-family home where you can get away from the everyday and feel nature and emotions at the same time,,1,"Seogwipo, Jeju Province, South Korea",9455, South Korea,1,2,8,0,1,0
A-Frame Bungalow in a Beautiful Pine Forest,,0,"Kızılağaç, Antalya, Turkey",5640, Turkey,5,5,5,0,5,0
"Cabin near Second Dormitory Sun Pavilion (Queen bed 150cm, shared bathroom) Beautiful large lawn romantic lake view at night",4.94,16,"Zuozhen District, Tainan City, Taiwan",5552, Taiwan,1,2,2,0,1,0
BUNGALOW VİLLA WITH NATURE AND LAKE VIEW,,0,"Sapanca, Sakarya, Turkey",41682, Turkey,1,1,2,0,1,0
Doğa Manzaralı Kiralık Bungalov Tatil Villası,,0,"Kaş, Antalya, Turkey",4672, Turkey,2,3,4,0,2,0
"(,)",4.67,3,"Zuozhen District, Tainan City, Taiwan",5559, Taiwan,1,2,2,0,1,0
A2 Glamping in a private home where you can get away from the everyday and feel nature and sensibility at the same time,,0,"Seogwipo, Jeju Province, South Korea",9455, South Korea,1,2,8,0,1,0
Three scandanevian style chalets in spellbound,,0,"Sakalana Range, Uttarakhand, India",8901, India,3,1,12,0,3,0
Nirvana | A Frame Cabin,5.0,3,"Jibhi, Himachal Pradesh, India",5135, India,1,1,2,0,1,0
Triangular FOREST HOUSE in Druskininkai center,,2,"Druskininkai, Alytaus apskritis, Lithuania",15402, Lithuania,1,4,6,0,2,0
Lovely cabin in mountain village,4.84,113,"Štôla, Prešov Region, Slovakia",6165, Slovakia,1,3,4,0,1,0
으지네민박,4.78,125,"Jinbu-myeon, Pyeongchang-gun, Gangwon Province, South Korea",22259, South Korea,2,3,6,0,3,0
Patara tiny house 2,5.0,3,"Kaş, Antalya, Turkey",8078, Turkey,1,1,2,0,1,0
Sheep Village No. 3 [Solitary Family Pension Nearest Sheep Ranch],4.93,15,"Daegwalnyeong-myeon, Pyeongchang-gun, Gangwon Province, South Korea",13856, South Korea,3,3,6,0,3,0
"Cottage, wonderfull seaview,  6 beds",4.88,42,"Allinge, Denmark",10276, Denmark,1,6,6,0,3,0
Nature cottage,4.84,244,"Königs Wusterhausen, Brandenburg, Germany",6477, Germany,1,2,4,0,1,0
Superior Bungalow 02,,0,"Bontosikuyu, South Sulawesi, Indonesia",6744, Indonesia,1,2,2,0,1,0
BUNGALOW VİLLA WITH NATURE AND LAKE VIEW,,0,"Sapanca, Sakarya, Turkey",44109, Turkey,1,1,2,0,1,0
Krasnobrod Mites,4.67,3,"Krasnobród, lubelskie, Poland",6646, Poland,1,5,6,0,3,0
"(,)",5.0,3,"Zuozhen District, Tainan City, Taiwan",5559, Taiwan,1,2,2,0,1,0
"AFTERNOON CLOUD, Ubud",4.57,68,"Kecamatan Ubud, Bali, Indonesia",3372, Indonesia,1,1,2,0,0,0
Valdo Cabin! A piece of heaven on earth!,5.0,27,"Sibiu, Județul Sibiu, Romania",15424, Romania,2,2,4,0,2,0
Alhibé Farm Exclusive Homestay Accommodation,4.9,188,"Carmen, Gitnang Kabisayaan, Philippines",15164, Philippines,2,1,6,0,1,0
Family wildrootstay  unique A Frame House,4.85,34,"Sughandhagiry, Kerala, India",10386, India,2,5,7,0,2,0
Luxury Bungalow within walking distance to the beach,4.96,69,"Fethiye, Muğla, Turkey",3173, Turkey,1,2,3,0,1,0
Livada-The tiny A-frame House/wi-fi/cadă baie/duș,4.99,97,"Peștenița, Hunedoara County, Romania",3062, Romania,0,2,3,1,1,0
Luxury Vacation Bungalow with Private Pool in Fethiye,5.0,6,"Fethiye, Muğla, Turkey",8812, Turkey,1,2,4,0,2,0
Varena Treehouse South,4.93,86,"Varėna, Alytaus apskritis, Lithuania",10056, Lithuania,1,1,2,0,1,0
Zen Bungalow #1 atop lush valley by the beach,4.96,114,"Tabanan Regency, Bali, Indonesia",4905, Indonesia,1,1,2,0,1,0
Triangle Palms Native Villa by C9 w/ Jungle View,4.82,65,"General Luna, Caraga, Philippines",3557, Philippines,1,2,4,0,0,1
"galle, quiet and peaceful on the edge of the city",4.71,7,"Fethiye, Muğla, Turkey",9261, Turkey,1,1,2,0,1,0
The forest house,5.0,7,"Ano Korakiana, Greece",9966, Greece,1,1,2,0,1,0
HAPPY NEST CABIN,5.0,38,"Maidan, L'vivs'ka oblast, Ukraine",6490, Ukraine,1,2,4,0,1,0
Luxury Suite 1-Bedroom Tent With Private Hot Pool,4.67,3,"Kecamatan Kintamani, Bali, Indonesia",7747, Indonesia,1,1,2,0,1,0
"❤THE NEST, 2BR Charming BeachFront home, HIN KONG.",4.98,91,"ตำบล เกาะพะงัน, ST, Thailand",11401, Thailand,1,3,5,0,2,0
The Rancho Relaxo,4.9,32,"Ioannina, Greece",5436, Greece,1,2,4,0,1,0
The Blue Moon In Orange Garden,4.96,53,"Ula, Muğla, Turkey",5971, Turkey,1,2,3,0,1,0
"haaziko, az erdőszéli kabin a Dunakanyarban",5.0,25,"Esztergom, Hungary",7761, Hungary,1,1,3,0,1,0
The Bride's Chalet Room,4.82,11,"Shkodër, Qarku i Shkodrës, Albania",3970, Albania,1,1,2,0,1,0
Creative minimalist cottage near Kampinos,,2,"Nowa Wieś-Śladów, Mazowieckie, Poland",8882, Poland,1,2,2,0,1,0
Lu’ Ilie's cabin,4.8,15,"Șinca Nouă, Brașov County, Romania",10035, Romania,1,4,6,0,3,0
A frame House,5.0,6,"Orașul Avrig, Județul Sibiu, Romania",8979, Romania,1,2,4,0,1,0
Daegwallyeong Emotional Accommodation/Il Oh House/Relaxing Sunday morning,5.0,7,"Daegwalnyeong-myeon, Pyeongchang-gun, Gangwon Province, South Korea",13437, South Korea,2,2,4,0,2,0
"M&H Camping House near Daegwallyeong Sheep Ranch (karaoke, air conditioning in each room,
Individual BBQ, 2nd floor terrace)",4.97,231,"Daegwalnyeong-myeon, Pyeongchang-gun, Gangwon Province, South Korea",16627, South Korea,3,3,6,0,3,0
The oak house in Ano Korakiana,4.96,99,"Άνω Κορακιάνα, Πελοπόννησος Δυτική Ελλάδα και Ιόνιο, Greece",6795, Greece,1,1,2,0,1,0
Minimalist Designer A-Frame Cabin +Outdoor Jacuzzi,4.64,14,"Bodrum, Muğla, Turkey",9668, Turkey,1,1,2,0,1,0
Villa overlooking the Balkan Mountains,5.0,120,"Troyan, Lovech, Bulgaria",7995, Bulgaria,1,3,6,0,2,0
MyLarda two bedroom Cottage with Ushba view,4.83,29,"Mestia, Samegrelo-Zemo Svaneti, Georgia",9103, Georgia,1,5,5,0,2,0
Zen Garden,4.94,16,"Oradea, Județul Bihor, Romania",4349, Romania,1,2,6,0,3,0
Countryside Bed & Breakfast near Kuala Kangsar,4.74,19,"Kuala Kangsar, Perak, Malaysia",2859, Malaysia,1,3,4,0,2,0
"Private pool, private parking and detached house with BBQ",,2,"Fethiye, Muğla, Turkey",4023, Turkey,1,3,3,0,1,0
Arhico Cabin II,5.0,9,"Satu Mare, Județul Suceava, Romania",3624, Romania,1,2,3,0,1,0
Omah Blarak - Barn C,,0,"Kecamatan Bantul, Daerah Istimewa Yogyakarta, Indonesia",1533, Indonesia,1,2,2,0,1,0
Awandaru village (a Frame) Jogja Hidden Paradise,,0,"Kecamatan Kasihan, Daerah Istimewa Yogyakarta, Indonesia",4308, Indonesia,1,1,4,0,1,0
NORDIC CABIN,,1,"Cluj-Napoca, Județul Cluj, Romania",14536, Romania,1,2,4,0,2,0
Zen Bungalows lush valley beach stay,4.96,28,"Tabanan Regency, Bali, Indonesia",8584, Indonesia,2,2,4,0,2,0
Camp Lipovo mountain cabin 2,5.0,22,"Lipovska Bistrica, Opština Kolašin, Montenegro",3890, Montenegro,1,2,3,0,1,0
Glamping villa in Camp Korita,4.75,123,"Soča, Tolmin, Slovenia",5478, Slovenia,1,2,2,0,1,0
Boutique A-frame cabin in Bohemian Switzerland,,2,"Chřibská, Ústecký kraj, Czechia",14700, Czechia,1,1,2,0,1,0
Dream Tiny House 2📍Foça Road/A-frames with a fireplace,5.0,5,"Aliağa, İzmir, Turkey",4134, Turkey,1,1,3,0,1,0
Cays is quiet and peaceful on the edge of the city,,2,"Fethiye, Muğla, Turkey",10805, Turkey,1,2,2,0,1,0
"Unique cabin High Coast, sea and forest view",4.97,90,"Kramfors N, Västernorrlands län, Sweden",10357, Sweden,1,1,4,0,2,0
Fairytale Cottage,4.84,68,"Zalaszántó, Hungary",4734, Hungary,2,4,4,0,2,0
Awandaru Village Triangular House,,0,"Pajangan, Special Region of Yogyakarta, Indonesia",3807, Indonesia,1,1,4,0,1,0
Forest (FoRest. Forest & Relax) -Activities,4.96,26,"Hajang-myeon, Samcheog, Gangwon Province, South Korea",9094, South Korea,1,0,6,0,2,0
"Seehütte ""Strandhaus"" directly in Lake Neusied",,0,"Rust, Burgenland, Austria",23023, Austria,1,1,4,0,1,0
Lika Sunset Bojana,5.0,9,"Ličko Lešće, Lika-Senj County, Croatia",6034, Croatia,1,1,2,0,1,0
Double  Cabin in mestia,4.7,10,"Mestia, Samegrelo-Zemo Svaneti, Georgia",4643, Georgia,1,1,2,0,1,0
"Circle, quiet and peaceful on the edge of the city",,1,"Fethiye, Muğla, Turkey",8246, Turkey,1,2,2,0,1,0
"pool 
🏊jacuzzi
⛲large garden
🌴barbecue
🍖isolated holiday 👏👏👏",,1,"Fethiye, Muğla, Turkey",5908, Turkey,1,1,2,0,1,0
Bungalow with Private Pool and Garden in Fethiye,,1,"Fethiye, Muğla, Turkey",6589, Turkey,1,1,2,0,1,0
Tana dell 'Lupo,,0,"Colibița, Bistrița-Năsăud County, Romania",12990, Romania,1,3,6,0,3,0
Charming 1-Bedroom Cabin near Kilimanjaro Airport,4.94,33,"Arusha, Arusha Region, Tanzania",4551, Tanzania,1,2,2,0,1,0
A  House with outdoor hot tub,5.0,8,"Cassibile, Sicilia, Italy",7773, Italy,1,2,3,0,2,0
Villa Sunnyside Gartenhaus,4.99,124,"Dresden, Sachsen, Germany",5072, Germany,1,2,2,0,0,0
Are you ready for a bungalow just for you;),,0,"Fethiye, Muğla, Turkey",9827, Turkey,1,1,2,0,1,0
Bungalow with Private Pool in Fethiye,,2,"Fethiye, Muğla, Turkey",9507, Turkey,1,1,2,0,1,0
Stardust Bungalows,4.67,3,"Fethiye, Muğla, Turkey",4516, Turkey,1,3,4,0,2,0
Pyeongchang Daegwanryeong Pension # Pretty Pension # Gangneung Pension # Couple Accommodation # Private Pension # On the way to Sheep Farm # Daegwanryeong Yodelay Pension,4.75,8,"Daegwalnyeong-myeon, Pyeongchang-gun, Gangwon Province, South Korea",12320, South Korea,2,2,3,0,2,0
Unique A-Shape guest house @ cottagge,4.92,110,"Jeram, Selangor, Malaysia",3834, Malaysia,1,3,5,0,1,0
Domek KOTlina,5.0,8,"Ścinawka Średnia, Dolnośląskie, Poland",6646, Poland,1,5,6,0,2,0
PHU NAM HOUSE - CABIN A,4.87,69,"Thành phố Phú Quốc, Kampot Province, Vietnam",590, Vietnam,4,4,2,0,4,0
A secluded wooden cottage on the Danube.,4.9,79,"Maszkowice, małopolskie, Poland",4434, Poland,1,3,4,0,1,0
Cabana Triangle House Parang,5.0,9,"Petroșani, Județul Hunedoara, Romania",8195, Romania,1,2,2,0,1,0
Noszvaj Cabin - Cosy lodge in the woods,4.89,19,"Noszvaj, Hungary",7075, Hungary,1,2,4,0,2,0
BLUSH by Kabani Riverside,,2,"Wayanad, Kerala, India",4565, India,1,2,4,0,1,0
A wooden cabin surrounded by greenery-Pred Peklom,4.9,93,"Borovnica, Vrhnika, Slovenia",3986, Slovenia,1,1,2,0,1,0
Livada 46,4.67,3,"Borșa, Maramureș County, Romania",14309, Romania,2,3,4,0,2,0
Cabana cu sobita semineu 6,5.0,3,"Drumul Carului, Județul Brașov, Romania",10778, Romania,1,1,2,0,1,0
Cottage Buková,4.8,52,"Buková, Trnavský kraj, Slovakia",2412, Slovakia,1,4,4,0,3,0
Honeymoon Villa with Private Pool for 2,,0,"Patara Beach, Antalya, Turkey",6873, Turkey,1,1,2,0,1,0
Exquisite Solace,4.96,54,"Dambulla, Sri Lanka",2731, Sri Lanka,1,3,4,0,1,0
"Afreim
Quiet Corner",4.75,4,"Izky, Zakarpattia Oblast, Ukraine",4786, Ukraine,1,2,4,0,1,0
Mountains and Lakes - Rust - Seehütte,4.77,22,"Rust, Burgenland, Austria",25331, Austria,1,3,5,0,0,1
Soul Camp Nowęcin,,0,"Nowęcin, Pomorskie, Poland",8335, Poland,1,3,6,0,2,0
Casa Ugni Blanc - Tiny House - Hidden Paradise,5.0,3,"Fethiye, Muğla, Turkey",12287, Turkey,1,1,2,0,1,0
Oak House  wooden cottage in the Carpathians,4.93,15,"Polyanytsya, Ivano-Frankivs'ka oblast, Ukraine",7977, Ukraine,1,4,8,0,3,0
Bungalow villa in forest with olives in Urla.,5.0,4,"İzmir, Zeytinler/ Urla, Turkey",12544, Turkey,1,4,4,0,2,0
